จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
ดอนพด,"1,780",50.21,"1,765",49.79,"1,528",45.89,"1,802",54.11,
บานหมอ,"11,940",60.83,"7,690",39.17,"10,783",57.91,"7,837",42.09,
พระพทธบาท,"17,103",67.07,"8,399",32.93,"15,565",64.31,"8,639",35.69,
มวกเหล็ก,"14,497",65.61,"7,598",34.39,"12,989",62.72,"7,722",37.28,
เมองสระบรี,"40,545",73.99,"14,256",26.01,"37,762",71.36,"15,155",28.64,
วงัมวง,"5,964",70.83,"2,456",29.17,"5,432",67.6,"2,603",32.4,
วหิารแดง,"11,602",68.8,"5,262",31.2,"10,424",66.37,"5,281",33.63,
เสาไห,"11,173",65.98,"5,760",34.02,"10,217",63.66,"5,833",36.34,
จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,
,หนองแค,"29,122",68.64,"13,305",31.36,"26,344",65.15,"14,089",34.85
,หนองแซง,"4,598",54.49,"3,840",45.51,"4,066",51.27,"3,865",48.73
,หนองโดน,"3,686",53.6,"3,191",46.4,"3,361",50.96,"3,235",49.04
,นอกเขตจงหวดั สระบรี,"1,340",70.16,570,29.84,"1,248",65.58,655,34.42
สระบร ผลรวม,"193,686",67.27,"94,224",32.73,"176,085",64.42,"97,241",35.58,
สิงหบรี,ค่ายบางระจน,"7,127",56.03,"5,594",43.97,"6,382",53.72,"5,499",46.28
,ทาชาง,"4,183",60.97,"2,678",39.03,"3,789",57.63,"2,786",42.37
,บางระจน,"7,998",48.9,"8,357",51.1,"6,980",45.28,"8,435",54.72
,พรหมบรี,"6,280",58.84,"4,393",41.16,"5,693",56.5,"4,383",43.5
,เมองสิงหบรี,"16,779",67.59,"8,047",32.41,"15,256",64.56,"8,376",35.44
,อนทร์บรี,"13,832",56.48,"10,660",43.52,"12,181",53.12,"10,751",46.88
,นอกเขตจงหวดั สิงหบรี,247,68.99,111,31.01,229,63.97,129,36.03
สงหบร ผลรวม,"56,446",58.62,"39,840",41.38,"50,510",55.59,"40,359",44.41,
สุโขทย,กงไกรลาศ,"21,082",68.25,"9,806",31.75,"18,366",63.95,"10,352",36.05
,คีรีมาศ,"19,321",76.55,"5,919",23.45,"17,188",72.54,"6,505",27.46
,ทง่เสล่ียม,"14,710",69.99,"6,307",30.01,"12,950",67.12,"6,345",32.88
,บานด่านลานหอย,"12,354",66.02,"6,359",33.98,"10,347",60.74,"6,689",39.26
,เมองสุโขทย,"34,119",74.69,"11,560",25.31,"30,632",71.12,"12,441",28.88
,ศรีนคร,"7,334",62.34,"4,430",37.66,"6,563",58.28,"4,698",41.72
,ศรีสัชนาลัย,"28,502",68.04,"13,388",31.96,"25,190",64.94,"13,600",35.06
,ศรีสาโรง,"22,875",67.74,"10,895",32.26,"19,735",62.36,"11,914",37.64
,สวรรคโลก,"27,684",71.55,"11,007",28.45,"24,889",67.99,"11,720",32.01
,นอกเขตจงหวดั สุโขทย,627,77.03,187,22.97,557,68.94,251,31.06
สโขทย ผลรวม,"188,608",70.25,"79,858",29.75,"166,417",66.32,"84,515",33.68,
สุพรรณบรี,ดอนเจดีย,"11,182",55.61,"8,927",44.39,"9,905",52.31,"9,029",47.69
,ด่านชาง,"17,469",62.95,"10,281",37.05,"15,576",59.95,"10,404",40.05
,เดิมบางนางบวช,"18,678",55.19,"15,163",44.81,"16,577",52.7,"14,878",47.3
,บางปลามา,"19,616",60.63,"12,736",39.37,"17,548",57.08,"13,197",42.92
,เมองสุพรรณบรี,"49,921",66.94,"24,650",33.06,"45,009",63.42,"25,956",36.58
,ศรีประจนต์,"16,057",54.92,"13,180",45.08,"14,303",52.1,"13,148",47.9
,สองพน่อง,"32,925",63.42,"18,988",36.58,"29,138",59.68,"19,688",40.32
,สามชก,"12,903",54.38,"10,826",45.62,"11,355",50.99,"10,912",49.01
,หนองหญาไซ,"10,976",48.91,"11,465",51.09,"9,436",45,"11,533",55
,อทอง,"32,881",65.43,"17,374",34.57,"29,247",61.98,"17,937",38.02
,นอกเขตจงหวดั สุพรรณบรี,506,70.87,208,29.13,453,63.98,255,36.02
สพรรณบร ผลรวม,"223,114",60.81,"143,798",39.19,"198,547",57.47,"146,937",42.53,
สุราษฎร์ธาน,กาญจนดิษฐ์,"37,681",86.4,"5,932",13.6,"34,843",83.36,"6,955",16.64
เกาะพะงัน,"5,866",89.74,671,10.26,"5,519",86.83,837,13.17,
เกาะสมย,"18,182",88.81,"2,292",11.19,"17,496",87.11,"2,588",12.89,
คีรีรัฐนคม,"16,907",87.31,"2,457",12.69,"15,801",84.1,"2,988",15.9,
เคียนซา,"18,460",85.78,"3,059",14.22,"17,330",82.75,"3,612",17.25,
จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,
,หนองแค,"29,122",68.64,"13,305",31.36,"26,344",65.15,"14,089",34.85
,หนองแซง,"4,598",54.49,"3,840",45.51,"4,066",51.27,"3,865",48.73
,หนองโดน,"3,686",53.6,"3,191",46.4,"3,361",50.96,"3,235",49.04
,นอกเขตจงหวดั สระบรี,"1,340",70.16,570,29.84,"1,248",65.58,655,34.42
สระบร ผลรวม,"193,686",67.27,"94,224",32.73,"176,085",64.42,"97,241",35.58,
สิงหบรี,ค่ายบางระจน,"7,127",56.03,"5,594",43.97,"6,382",53.72,"5,499",46.28
,ทาชาง,"4,183",60.97,"2,678",39.03,"3,789",57.63,"2,786",42.37
,บางระจน,"7,998",48.9,"8,357",51.1,"6,980",45.28,"8,435",54.72
,พรหมบรี,"6,280",58.84,"4,393",41.16,"5,693",56.5,"4,383",43.5
,เมองสิงหบรี,"16,779",67.59,"8,047",32.41,"15,256",64.56,"8,376",35.44
,อนทร์บรี,"13,832",56.48,"10,660",43.52,"12,181",53.12,"10,751",46.88
,นอกเขตจงหวดั สิงหบรี,247,68.99,111,31.01,229,63.97,129,36.03
สงหบร ผลรวม,"56,446",58.62,"39,840",41.38,"50,510",55.59,"40,359",44.41,
สุโขทย,กงไกรลาศ,"21,082",68.25,"9,806",31.75,"18,366",63.95,"10,352",36.05
,คีรีมาศ,"19,321",76.55,"5,919",23.45,"17,188",72.54,"6,505",27.46
,ทง่เสล่ียม,"14,710",69.99,"6,307",30.01,"12,950",67.12,"6,345",32.88
,บานด่านลานหอย,"12,354",66.02,"6,359",33.98,"10,347",60.74,"6,689",39.26
,เมองสุโขทย,"34,119",74.69,"11,560",25.31,"30,632",71.12,"12,441",28.88
,ศรีนคร,"7,334",62.34,"4,430",37.66,"6,563",58.28,"4,698",41.72
,ศรีสัชนาลัย,"28,502",68.04,"13,388",31.96,"25,190",64.94,"13,600",35.06
,ศรีสาโรง,"22,875",67.74,"10,895",32.26,"19,735",62.36,"11,914",37.64
,สวรรคโลก,"27,684",71.55,"11,007",28.45,"24,889",67.99,"11,720",32.01
,นอกเขตจงหวดั สุโขทย,627,77.03,187,22.97,557,68.94,251,31.06
สโขทย ผลรวม,"188,608",70.25,"79,858",29.75,"166,417",66.32,"84,515",33.68,
สุพรรณบรี,ดอนเจดีย,"11,182",55.61,"8,927",44.39,"9,905",52.31,"9,029",47.69
,ด่านชาง,"17,469",62.95,"10,281",37.05,"15,576",59.95,"10,404",40.05
,เดิมบางนางบวช,"18,678",55.19,"15,163",44.81,"16,577",52.7,"14,878",47.3
,บางปลามา,"19,616",60.63,"12,736",39.37,"17,548",57.08,"13,197",42.92
,เมองสุพรรณบรี,"49,921",66.94,"24,650",33.06,"45,009",63.42,"25,956",36.58
,ศรีประจนต์,"16,057",54.92,"13,180",45.08,"14,303",52.1,"13,148",47.9
,สองพน่อง,"32,925",63.42,"18,988",36.58,"29,138",59.68,"19,688",40.32
,สามชก,"12,903",54.38,"10,826",45.62,"11,355",50.99,"10,912",49.01
,หนองหญาไซ,"10,976",48.91,"11,465",51.09,"9,436",45,"11,533",55
,อทอง,"32,881",65.43,"17,374",34.57,"29,247",61.98,"17,937",38.02
,นอกเขตจงหวดั สุพรรณบรี,506,70.87,208,29.13,453,63.98,255,36.02
สพรรณบร ผลรวม,"223,114",60.81,"143,798",39.19,"198,547",57.47,"146,937",42.53,
สุราษฎร์ธาน,กาญจนดิษฐ์,"37,681",86.4,"5,932",13.6,"34,843",83.36,"6,955",16.64
เกาะพะงัน,"5,866",89.74,671,10.26,"5,519",86.83,837,13.17,
เกาะสมย,"18,182",88.81,"2,292",11.19,"17,496",87.11,"2,588",12.89,
คีรีรัฐนคม,"16,907",87.31,"2,457",12.69,"15,801",84.1,"2,988",15.9,
เคียนซา,"18,460",85.78,"3,059",14.22,"17,330",82.75,"3,612",17.25,
จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,
,ชยบรี,"11,278",88.32,"1,492",11.68,"10,513",85.06,"1,846",14.94
,ไชยา,"19,804",88.66,"2,533",11.34,"18,590",85.99,"3,028",14.01
,ดอนสัก,"12,910",87.51,"1,842",12.49,"11,997",84.63,"2,178",15.37
,ทาฉาง,"12,670",87.1,"1,877",12.9,"11,769",83.82,"2,271",16.18
,ทาชนะ,"20,406",87.56,"2,900",12.44,"19,062",84.35,"3,536",15.65
,บานตาขน,"5,819",88.23,776,11.77,"5,345",83.99,"1,019",16.01
,บานนาเดิม,"9,306",87.39,"1,343",12.61,"8,671",84.59,"1,580",15.41
,บานนาสาร,"26,245",87.37,"3,795",12.63,"24,279",84.52,"4,448",15.48
,พนม,"14,336",87.01,"2,141",12.99,"13,248",82.86,"2,740",17.14
,พระแสง,"25,897",87.98,"3,537",12.02,"24,235",84.76,"4,357",15.24
,พนพน,"32,764",84.59,"5,971",15.41,"30,359",81.26,"7,000",18.74
,เมองสุราษฎร์ธาน,"57,951",88.01,"7,898",11.99,"54,533",84.91,"9,693",15.09
,วภิาวดี,"5,779",88,788,12,"5,220",83.79,"1,010",16.21
,เวยีงสระ,"24,131",87.65,"3,400",12.35,"22,589",84.91,"4,014",15.09
,นอกเขตจงหวดั สุราษฎร์ธาน,"1,236",81.75,276,18.25,"1,159",76.91,348,23.09
สรําษฎรธํานี ผลรวม,"377,628",87.29,"54,980",12.71,"352,558",84.22,"66,048",15.78,
สุรินทร์,กาบเชง,"9,840",45.21,"11,925",54.79,"8,369",40.67,"12,210",59.33
,เขวาสินรินทร์,"7,022",47.98,"7,613",52.02,"6,088",43.21,"8,002",56.79
,จอมพระ,"9,805",41.65,"13,736",58.35,"8,253",36.83,"14,153",63.17
,ชมพลบรี,"10,416",35.76,"18,714",64.24,"8,901",31.82,"19,076",68.18
,ทาตูม,"15,482",42.68,"20,792",57.32,"13,138",38.39,"21,081",61.61
,โนนนารายณ์,"4,705",40.03,"7,049",59.97,"3,760",35.08,"6,958",64.92
,บวเชด,"6,468",42.52,"8,744",57.48,"5,507",38.17,"8,922",61.83
,ปราสาท,"33,216",54.57,"27,648",45.43,"28,728",49.34,"29,491",50.66
,พนมดงรัก,"5,951",41.33,"8,449",58.67,"5,083",37.2,"8,582",62.8
,เมองสุรินทร์,"67,801",63.81,"38,452",36.19,"60,989",59.89,"40,851",40.11
,รัตนบรี,"13,867",41.95,"19,186",58.05,"11,730",37.94,"19,189",62.06
,ลาดวน,"6,503",50.89,"6,275",49.11,"5,588",46.77,"6,360",53.23
,ศรีณรงค์,"6,836",45.3,"8,255",54.7,"5,744",41.26,"8,179",58.74
,ศีขรภม,"22,627",47.11,"25,405",52.89,"19,801",43.95,"25,253",56.05
,สนม,"6,572",41.87,"9,126",58.13,"5,608",38.41,"8,994",61.59
,สังขะ,"23,185",48.69,"24,436",51.31,"19,986",44.45,"24,972",55.55
,สาโรงทาบ,"7,423",39.16,"11,533",60.84,"6,343",35.71,"11,418",64.29
,นอกเขตจงหวดั สุรินทร์,"1,949",77.1,579,22.9,"1,748",70.83,720,29.17
สรนทร ผลรวม,"259,668",49.22,"267,917",50.78,"225,364",45.09,"274,411",54.91,
หนองคาย,ทาบอ,"14,344",44.2,"18,106",55.8,"12,444",40.55,"18,243",59.45
เฝ้าไร่,"6,301",36.82,"10,811",63.18,"5,371",33.65,"10,591",66.35,
โพธตาก,"2,261",42.68,"3,037",57.32,"1,960",39.55,"2,996",60.45,
โพนพสัย,"13,386",38.15,"21,701",61.85,"11,390",35.22,"20,954",64.78,
เมองหนองคาย,"31,009",51.32,"29,410",48.68,"27,366",47.85,"29,826",52.15,
รัตนวาป,"4,763",35.64,"8,601",64.36,"3,949",31.81,"8,466",68.19,
จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,
,ศรีเชยงใหม,"4,696",43,"6,226",57,"4,003",39.44,"6,146",60.56
,สระใคร,"4,779",50.02,"4,775",49.98,"4,139",47.02,"4,664",52.98
,สังคม,"4,536",43.12,"5,983",56.88,"3,864",39.72,"5,863",60.28
,นอกเขตจงหวดั หนองคาย,482,68.27,224,31.73,438,63.11,256,36.89
หนองคําย ผลรวม,"86,557",44.29,"108,874",55.71,"74,924",40.96,"108,005",59.04,
หนองบวลาภ,นากลาง,"13,231",37.99,"21,596",62.01,"11,649",35.26,"21,384",64.74
,นาวงั,"5,642",38.48,"9,021",61.52,"4,816",35.21,"8,860",64.79
,โนนสัง,"8,632",35.42,"15,735",64.58,"7,443",32.58,"15,401",67.42
,เมองหนองบวลาภ,"24,006",43.59,"31,067",56.41,"20,842",40.26,"30,927",59.74
,ศรีบญเรือง,"16,336",40.12,"24,377",59.88,"14,095",37.16,"23,839",62.84
,สุวรรณคูหา,"9,022",37.52,"15,021",62.48,"7,769",34.47,"14,769",65.53
,นอกเขตจงหวดั หนองบวลาภ,298,67.88,141,32.12,269,61.28,170,38.72
หนองบวลําภ ผลรวม,"77,167",39.75,"116,958",60.25,"66,883",36.7,"115,350",63.3,
อางทอง,ไชโย,"6,592",64.91,"3,564",35.09,"5,929",61.86,"3,656",38.14
,ปาโมก,"7,007",59.19,"4,832",40.81,"6,323",56.13,"4,942",43.87
,โพธทอง,"13,570",56.99,"10,241",43.01,"12,097",54.06,"10,279",45.94
,เมองอางทอง,"15,092",63.85,"8,544",36.15,"13,697",60.69,"8,873",39.31
,วเิศษชยชาญ,"17,118",61.89,"10,541",38.11,"15,254",58.51,"10,817",41.49
,สามโก,"4,053",47.4,"4,497",52.6,"3,496",44.5,"4,361",55.5
,แสวงหา,"7,240",49.82,"7,291",50.18,"6,311",46.51,"7,259",53.49
,นอกเขตจงหวดั อางทอง,286,68.59,131,31.41,271,65.78,141,34.22
อ่ํางทอง ผลรวม,"70,958",58.84,"49,641",41.16,"63,378",55.74,"50,328",44.26,
อานาจเจริญ,ชานมาน,"8,282",48.53,"8,784",51.47,"7,121",44.77,"8,786",55.23
,ปทมราชวงศา,"11,386",56.24,"8,860",43.76,"9,868",51.91,"9,143",48.09
,พนา,"7,410",64.43,"4,091",35.57,"6,437",60.15,"4,264",39.85
,เมองอานาจเจริญ,"32,091",56.56,"24,651",43.44,"27,468",51.27,"26,112",48.73
,ลืออานาจ,"10,513",64.28,"5,842",35.72,"9,100",59.36,"6,230",40.64
,เสนางคนคม,"6,836",41.18,"9,765",58.82,"5,706",36.06,"10,118",63.94
,หวตะพาน,"10,554",50.73,"10,250",49.27,"9,052",46.13,"10,571",53.87
,นอกเขตจงหวดั อานาจเจริญ,242,70.14,103,29.86,224,65.12,120,34.88
อํานําจเจรญ ผลรวม,"87,314",54.69,"72,346",45.31,"74,976",49.88,"75,344",50.12,
อดรธาน,กดจบ,"9,724",35.78,"17,451",64.22,"8,286",33.08,"16,760",66.92
กมภวาป,"19,096",39.33,"29,453",60.67,"16,708",36.42,"29,164",63.58,
กแกว,"2,610",29.4,"6,269",70.6,"2,272",27.04,"6,130",72.96,
ไชยวาน,"5,588",38.32,"8,995",61.68,"4,768",35.17,"8,788",64.83,
ทง่ฝน,"3,544",30.57,"8,050",69.43,"2,955",27.63,"7,738",72.37,
นายง,"4,918",43.24,"6,455",56.76,"4,079",38.88,"6,411",61.12,
นาโสม,"8,915",40.02,"13,360",59.98,"7,682",36.4,"13,425",63.6,
โนนสะอาด,"9,987",47.58,"11,004",52.42,"8,660",43.46,"11,267",56.54,
บานดุง,"17,496",38.92,"27,458",61.08,"14,706",34.99,"27,319",65.01,
บานผือ,"16,696",38.07,"27,157",61.93,"14,424",34.94,"26,862",65.06,
จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ
,ประจกษศิลปาคม,"3,350",34.96,"6,232",65.04,"2,965",33.04,"6,009",66.96
,พบลยรักษ,"2,914",32.23,"6,127",67.77,"2,396",28.18,"6,106",71.82
,เพญ,"16,472",37.49,"27,461",62.51,"14,064",34.56,"26,632",65.44
,เมองอดรธาน,"75,398",47.49,"83,361",52.51,"67,404",44.8,"83,047",55.2
,วงัสามหมอ,"9,854",44.27,"12,406",55.73,"8,160",38.91,"12,813",61.09
,ศรีธาตุ,"9,592",43.88,"12,269",56.12,"8,199",39.67,"12,471",60.33
,สร้างคอม,"3,939",36.58,"6,830",63.42,"3,211",32.07,"6,802",67.93
,หนองววัซอ,"8,614",34.79,"16,143",65.21,"7,444",32.03,"15,800",67.97
,หนองแสง,"4,366",40.6,"6,389",59.4,"3,743",37.89,"6,136",62.11
,หนองหาน,"14,187",33.02,"28,776",66.98,"12,227",30.28,"28,158",69.72
,นอกเขตจงหวดั อดรธาน,832,66.61,417,33.39,731,59.38,500,40.62
อุดรธํานี ผลรวม,"248,092",40.66,"362,063",59.34,"215,084",37.51,"358,338",62.49,
อตรดิตถ,ตรอน,"7,283",45.87,"8,594",54.13,"6,354",42.61,"8,559",57.39
,ทองแสนขน,"8,436",59.55,"5,731",40.45,"7,353",56.77,"5,599",43.23
,ทาปลา,"11,915",68.25,"5,542",31.75,"10,425",64.6,"5,714",35.4
,นาปาด,"11,148",66.8,"5,541",33.2,"9,643",63.66,"5,504",36.34
,บานโคก,"3,639",57.35,"2,706",42.65,"3,052",52.02,"2,815",47.98
,พชย,"14,838",46.69,"16,941",53.31,"12,696",42.53,"17,158",57.47
,ฟากทา,"4,128",60.83,"2,658",39.17,"3,524",56.11,"2,756",43.89
,เมองอตรดิตถ,"44,823",67.01,"22,070",32.99,"39,936",63.55,"22,909",36.45
,ลับแล,"17,742",59.7,"11,977",40.3,"15,612",56.39,"12,072",43.61
,นอกเขตจงหวดั อตรดิตถ,404,64.54,222,35.46,351,56.16,274,43.84
อุตรดตถ์ ผลรวม,"124,356",60.27,"81,982",39.73,"108,946",56.65,"83,360",43.35,
อทยธาน,ทพทน,"11,907",70.93,"4,879",29.07,"10,548",67.44,"5,092",32.56
,บานไร่,"24,055",76.62,"7,339",23.38,"21,426",73.1,"7,883",26.9
,เมองอทยธาน,"18,080",78.09,"5,074",21.91,"16,425",74.54,"5,609",25.46
,ลานสัก,"16,435",71.99,"6,395",28.01,"14,933",68.87,"6,751",31.13
,สวา่งอารมณ์,"9,132",70.93,"3,743",29.07,"8,155",67.99,"3,839",32.01
,หนองขาหยาง,"6,000",77.76,"1,716",22.24,"5,410",74.03,"1,898",25.97
,หนองฉาง,"14,819",75.75,"4,743",24.25,"13,488",72.44,"5,131",27.56
,หวยคต,"6,100",74.25,"2,116",25.75,"5,397",70.19,"2,292",29.81
,นอกเขตจงหวดั อทยธาน,356,75.11,118,24.89,314,67.24,153,32.76
อุทยธํานี ผลรวม,"106,884",74.74,"36,123",25.26,"96,096",71.32,"38,648",28.68,
อบลราชธาน,กดขาวปน้,"8,336",50.46,"8,185",49.54,"6,660",42.37,"9,057",57.63
เขมราฐ,"16,564",56.91,"12,544",43.09,"14,204",52.85,"12,672",47.15,
เของใน,"25,292",59.11,"17,493",40.89,"21,684",54.11,"18,388",45.89,
โขงเจยม,"8,366",59.87,"5,607",40.13,"7,200",55.34,"5,810",44.66,
ดอนมดแดง,"7,131",60.98,"4,563",39.02,"6,123",55.24,"4,961",44.76,
เดชอดม,"35,561",51.78,"33,110",48.22,"29,886",46.78,"34,004",53.22,
ตระการพชผล,"28,880",57.76,"21,122",42.24,"24,133",51.92,"22,348",48.08,
ตาลสุม,"6,752",53.75,"5,811",46.25,"5,807",49.98,"5,811",50.02,
จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ
,ทง่ศรีอดม,"5,566",49.07,"5,776",50.93,"4,571",43.8,"5,866",56.2
นาจะหลวย,"9,256",41.48,"13,059",58.52,"7,738",37.32,"12,998",62.68,
นาตาล,"6,873",53.31,"6,020",46.69,"5,904",49.66,"5,984",50.34,
นาเยย,"5,292",50.13,"5,264",49.87,"4,486",45.76,"5,318",54.24,
นาขน,"6,001",47.38,"6,666",52.62,"4,905",42.16,"6,728",57.84,
นายน,"13,457",49.18,"13,908",50.82,"10,962",43.18,"14,423",56.82,
บณฑริก,"16,919",47.98,"18,347",52.02,"13,795",41.94,"19,094",58.06,
พบลมงสาหาร,"31,630",63.18,"18,437",36.82,"27,453",58.79,"19,240",41.21,
โพธไทร,"9,284",52.28,"8,475",47.72,"7,883",48.06,"8,520",51.94,
มวงสามสิบ,"22,468",60.89,"14,432",39.11,"19,053",54.43,"15,952",45.57,
เมองอบลราชธาน,"58,937",58.2,"42,330",41.8,"52,486",54.51,"43,796",45.49,
วารินชาราบ,"38,070",51.91,"35,262",48.09,"32,923",47.52,"36,353",52.48,
ศรีเมองใหม,"15,768",56.17,"12,303",43.83,"12,978",49.95,"13,002",50.05,
สวา่งวรีะวงศ์,"7,586",58.43,"5,398",41.57,"6,614",53.75,"5,692",46.25,
สาโรง,"10,859",42.16,"14,899",57.84,"8,837",36.17,"15,595",63.83,
สิรินธร,"10,668",56.5,"8,215",43.5,"9,067",52.08,"8,343",47.92,
เหล่าเสือโกก,"7,305",64.2,"4,073",35.8,"7,197",57.82,"5,251",42.18,
นอกเขตจงหวดั อบลราชธาน,"1,080",66.3,549,33.7,944,58.16,679,41.84,
อุบลรําชธํานี ผลรวม,"413,901",54.77,"341,848",45.23,"353,493",49.83,"355,885",50.17,
รวมทง้หมด,"16,820,402",61.35,"10,598,037",38.65,"15,132,050",58.07,"10,926,648",41.93,
